epoch,markPrice,apr,net_apr,unrealizedPnl,volume,depth,slippage,position,openNotional
01 23:59,114.33466731628766,8.554896504215925,8.554896504215925,2.3438072614290206,16615871.0723621,46008.84453948164,0.19738379783763582,-1.399042345051562,162.86113678111997
02 23:59,113.0944351760631,20.472216512712183,14.51355650846405,5.6088264418389535,13946406.071952127,47371.511812727964,0.19470709525578767,-0.215237987570994,32.26954628054409
03 23:59,108.10179303729412,16.315020455399246,15.114044490775786,4.4698686179176015,14608745.559648706,47042.32171396884,0.1952233450826987,0.8586773578227564,80.19342839436649
04 23:59,103.31298761462045,-11.890698296180796,8.362858794036638,-3.2577255605974784,12159456.827740742,40515.46998184946,0.2190312703702493,2.032491805113615,199.97549873808475
05 23:59,97.35876569166395,-35.715556910248736,-0.45282434682043576,-9.785084084999653,14375663.327666696,40893.99488489172,0.23294855632079461,3.3761347256295267,328.57036199285903
06 23:59,95.13281815207978,-14.816552813788542,-2.84677909131512,-4.059329538024258,9118059.724404475,19442.86840744407,0.3427899717678622,2.896619036523475,281.12633560862014
07 23:59,86.69493800248779,-156.2026503644909,-24.754760701768795,-42.795246675202975,5833008.237957089,11279.707218690159,0.4484908593288572,6.373107782542348,596.9903291000555
08 23:59,83.83892006167498,-61.60557837054455,-29.36111291036577,-16.87824064946426,5038051.614983832,10714.251500902497,0.45344723226071154,7.252219879236776,669.0611636972162
09 23:59,89.28745708284035,142.52264636879323,-10.262917434903656,39.047300375011844,4853153.979836928,11006.36088656579,0.4468111546900952,4.475024846497561,426.34223829953044
10 23:59,84.42948615800393,-105.05481683022191,-19.74210737443548,-28.782141597321072,8558446.81164915,20594.62854990043,0.3360646942620443,7.107366181485986,652.2247858963765
11 23:59,89.61851947162299,126.34842488051602,-6.4611498967126195,34.61600681657973,7433787.804183193,20206.80659784265,0.33115046003561355,4.405095475169595,415.6221635067477
12 23:59,95.9646163176783,92.44995106001227,1.7814418496811217,25.328753715071855,4203211.870561118,11586.062496996992,0.44344556923012746,2.791724979531523,263.1835861482559
13 23:59,89.72783375883219,-94.54112786224839,-5.627986589698072,-25.901678866369423,4957602.620617889,14416.518499205697,0.425448099284313,5.593894787745015,519.8381381599565
14 23:59,90.39531129014075,32.913138478660855,-2.8750490848152905,9.017298213331742,8453986.222263249,32645.805042996693,0.24177969900648802,4.355145924221048,405.12540888559397
15 23:59,93.05596867745001,46.82758491192182,0.4384598483005161,12.829475318334744,10020035.056805562,44432.01634580807,0.1836185705502106,4.609888634058635,426.10484552462094
16 23:59,92.32492472107643,0.5174980920618736,0.443399738535601,0.14178029919503388,10691503.50658511,47312.785502619874,0.17414076229106717,4.799696927663113,440.19818623574247
17 23:59,86.70528122222294,-92.93245759972982,-5.049297751950601,-25.460947287597207,11797265.152311476,38199.86114840481,0.2100603017092546,6.19828435422243,560.3937028601149
18 23:59,86.04017794596912,-0.13985033911526443,-4.776550673459748,-0.03831516140144231,11279440.967414409,42073.33250963164,0.19174624366193432,5.693793889642109,513.857773193301
19 23:59,82.60850454501865,-87.946693091917,-9.153926590220655,-24.09498440874438,10586992.89295185,36507.8976221745,0.2235980303782216,7.836629625334773,692.4927325624894
20 23:59,79.24970836842452,-104.40737792838692,-13.916599157128969,-28.604761076270393,6739489.644360794,32695.684449843342,0.2608544788063276,8.850605509590274,773.9385289393313
21 23:59,66.027727284289,-526.6128736718258,-38.330707467352624,-144.27749963611666,6312640.774511639,10059.95115980622,0.4292141272824827,13.885520245203807,1133.3224919711893
22 23:59,59.80527288507005,-333.0624790273189,-51.72760617462382,-91.24999425405997,7703347.63379829,9333.041090556573,0.35616000009951193,16.9074680775909,1318.5152689563897
23 23:59,64.81295892232674,292.4646105825508,-36.76272718518145,80.12729057056185,5416602.690650203,9250.300551346963,0.4162518075846555,14.669728195095992,1177.2225373382457
24 23:59,63.060707527992165,-83.05933693141765,-38.69175259127462,-22.755982720936345,6143688.237015472,8994.871704419216,0.4319890828425551,15.603784797833818,1233.0355099125477
25 23:59,68.04228989101276,287.9692357569053,-25.62531305734743,78.89568102928911,6758419.087425689,12685.074696518663,0.4137742898469375,11.972452443874452,993.2575129293564
26 23:59,65.80243272362159,-129.85689531230787,-29.634220067153603,-35.57723159241311,12194472.483031156,24520.490155351148,0.30416229502896935,14.310091428266453,1147.4975911117713
27 23:59,64.7074923827541,-16.062338849092225,-29.13155779981799,-4.400640780573212,6135338.089215427,11711.76515059507,0.4154443378232869,13.465944017236005,1089.5940248192833
28 23:59,67.0043644636475,120.66352170426406,-23.781733531815064,33.05849909705864,6915241.478769001,15972.477567990507,0.35130979868747264,12.456963088075355,1020.1120601451989
29 23:59,71.87983836265037,213.9650092912874,-15.583569986190842,58.62055049076366,3820578.7225744906,9495.41948448922,0.47153080020079974,10.543895286746007,884.7833898319805
30 23:59,67.97312324939148,-173.2535421201284,-20.83923572398876,-47.466723868528334,3993506.2991601615,11599.535999780439,0.42122370071530996,13.186226531924142,1066.2551063650112
31 23:59,69.88996329390417,103.18957884855584,-16.83830622164861,28.271117492755025,5714706.831040282,14014.585430257303,0.4005116970412464,11.283148640784503,934.6792124733779
